79.2,80.0,78.4,79.2,78.3,0.9,238,13.428,169570
23.7,24.8,23.5,23.7,24.4,-0.7,484,13.715,572610
119.5,122.8,118.0,119.5,119.4,0.1,180,4.182,35032
103.9,104.5,102.8,103.9,102.8,1.1,1799,232.79,2246226
27.5,27.7,27.3,27.5,27.4,0.1,73,1.587,57709
38.0,39.0,37.9,38.0,38.2,-0.2,476,11.267,294879
50.0,50.9,49.8,50.0,50.3,-0.3,204,4.457,88764
25.6,26.1,25.5,25.6,25.8,-0.2,346,11.035,429026
343.4,356.0,342.2,343.4,351.8,-8.4,1234,49.877,144001
275.0,275.0,260.0,270.3,270.0,5.0,149,1.845,6943
53.4,55.3,53.0,53.4,54.5,-1.1,3150,202.177,3741189
213.9,222.0,212.0,213.9,218.6,-4.7,1011,43.056,198481
60.2,60.7,58.5,60.2,57.9,2.3,1002,93.936,1571723
5786.0,5833.9,5775.0,5809.4,5797.5,-11.5,299,11.561,1995
11.7,11.7,11.3,11.7,11.2,0.5,65,1.72,149150
84.6,86.6,84.2,84.6,83.7,0.9,106,4.334,50754
1312.0,1317.0,1310.0,1311.8,1312.5,-0.5,398,11.845,9033
48.6,50.0,48.5,48.6,48.7,-0.1,239,7.72,158147
10.5,10.8,10.5,10.5,10.5,0.0,900,30.939,2914199
54.3,55.2,54.1,54.3,54.1,0.2,98,1.485,27274
33.3,34.0,33.0,33.3,33.5,-0.2,153,2.599,78088
42.9,43.2,42.7,42.9,42.6,0.3,404,16.014,373583
26.2,27.3,26.0,26.2,26.9,-0.7,845,26.798,1017328
45.3,47.2,45.1,45.3,46.2,-0.9,3130,400.899,8710522
22.8,23.5,22.7,22.8,22.9,-0.1,407,17.607,763324
30.0,30.4,28.5,30.0,28.6,1.4,365,8.733,294819
51.1,53.3,50.6,51.1,52.8,-1.7,941,41.812,805247
118.2,125.8,116.5,118.2,122.0,-3.8,1700,64.837,535260
27.4,28.2,27.3,27.4,27.2,0.2,337,10.537,380626
16.0,16.2,16.0,16.0,16.0,0.0,435,5.315,331056
8.5,8.7,8.5,8.5,8.5,0.0,74,3.957,464501
9.3,9.4,9.3,9.4,9.3,0.0,32,0.886,94537
9.5,9.5,9.4,9.5,9.3,0.2,61,1.464,154808
22.3,22.6,22.3,22.3,22.4,-0.1,60,2.066,92214
27.8,28.5,27.6,27.8,27.4,0.4,321,13.806,493356
20.5,21.4,20.4,20.5,20.4,0.1,789,30.829,1479743
17.5,18.4,17.3,17.5,18.1,-0.6,1212,144.695,8116604
25.8,26.4,25.6,25.8,25.6,0.2,573,22.487,866783
19.9,20.5,19.5,19.9,19.5,0.4,514,17.455,874733
18.8,19.4,18.7,18.8,19.2,-0.4,476,11.915,629350
176.5,177.4,175.1,176.5,177.4,-0.9,179,4.971,28237
55.0,58.0,54.9,55.0,57.6,-2.6,217,5.65,101350
30.6,31.4,30.4,30.6,30.3,0.3,362,8.898,288228
461.5,472.0,460.0,461.5,470.7,-9.2,296,6.148,13228
727.9,745.0,722.1,727.9,711.8,16.1,2196,208.469,285088
70.4,72.4,70.1,70.4,70.2,0.2,330,7.292,103172
15.6,15.8,15.6,15.6,15.7,-0.1,150,6.756,430295
31.2,31.3,30.3,31.2,30.4,0.8,1134,54.663,1761907
90.2,91.6,89.9,90.2,91.1,-0.9,718,33.027,365667
63.0,65.3,62.9,63.0,64.5,-1.5,635,35.343,556791
222.5,223.7,221.7,222.5,221.2,1.3,1158,84.203,377921
20.1,20.8,20.0,20.1,20.9,-0.8,2303,93.235,4575702
72.6,73.5,71.1,72.6,72.0,0.6,196,8.421,116322
10.5,10.5,10.4,10.5,10.4,0.1,134,3.738,357695
39.2,39.7,39.0,39.2,39.2,0.0,698,27.991,712944
