POWERGRID,64.80,Fuel & Power,A,2.0,5.5,4.45,110.39,2020
PRAGATIINS,84.10,Insurance,A,3.0,6.29,4.06,53.51,2020
PRAGATILIF,95.20,Insurance,A,1.2,-,-,-,2020
PREMIERBAN,15.30,Bank,A,2.4,2.97,2.13,21.02,2020
PREMIERCEM,58.30,Cement,A,2.0,0.46,6.2,79.83,2021
PREMIERLEA,8.00,Financial Institutions,B,-,-, n/a ,16.03,2020
PRIME1ICBA,7.50,Mutual Funds,A,0.75,0.94,0.47,10.15,2021
PRIMEBANK,22.30,Bank,A,1.5,3.03,1.61,25.15,2020
PRIMEFIN,14.60,Financial Institutions,B,-,0.39,0.14,11.76,2020
PRIMEINSUR,91.30,Insurance,A,1.0,2.69,1.31,17.62,2020
PRIMELIFE,68.90,Insurance,A,-,-,-,-,2020
PRIMETEX,26.40,Textile,B,0.2,0.6,0.62,67.93,2021
PROGRESLIF,98.30,Insurance,A,9.83,-,-,-,2019
PROVATIINS,112.90,Insurance,A,19.19,3.9,3.08,21.11,2020
PTL,94.00,Textile,A,6.7,5.94,4.27,27.24,2021
PUBALIBANK,28.30,Bank,A,1.25,6.07,3.62,37.63,2020
PURABIGEN,36.00,Insurance,A,2.3,1.43,1.16,13.09,2020
QUASEMIND,49.30,Engineering,A,2.96,0.42,0.7,31.01,2020
QUEENSOUTH,28.20,Textile,A,3.06,1.22,0.96,16.64,2020
RAHIMAFOOD,365.50,Food & Allied,B,0.1,-,0.07,9.29,2021
RAHIMTEXT,276.20,Textile,A,1.6,2.92,2.25,37.99,2021
RAKCERAMIC,50.60,Ceramics Sector,A,1.0,2.12,0.73,16.41,2020
RANFOUNDRY,221.30,Engineering,A,2.3,4.38,3.68,29.11,2021
RDFOOD,61.10,Food & Allied,B,2.13,1.54,0.64,14.65,2021
RECKITTBEN,5957.70,Pharmaceuticals & Chemicals,A,140.0,140.28,156.37,170.95,2020
REGENTTEX,9.90,Textile,B,-,-, n/a ,26.52,2021
RELIANCE1,11.00,Mutual Funds,A,1.05,0.97,1.05,14.76,2021
RELIANCINS,80.90,Insurance,A,2.5,5.59,5.21,60.73,2020
RENATA,1354.40,Pharmaceuticals & Chemicals,A,149.94,51.24,51.93,263.85,2021
RENWICKJA,1044.00,Engineering,A,-,-, n/a ,-23.25,2021
REPUBLIC,48.00,Insurance,A,4.06,2.48,2.36,16.18,2020
RINGSHINE,10.10,Textile,A,1.51,0.29,1.72,24.88,2019
RNSPIN,6.50,Textile,Z,-,-, n/a ,0.15,2021
ROBI,36.90,Telecommunication,N,-,0.43,0.33,13.9,2020
RSRMSTEEL,21.10,Engineering,A,-,-, n/a ,44.94,2021
RUNNERAUTO,52.60,Engineering,A,1.0,2.98,2.7,65.16,2021
RUPALIBANK,32.70,Bank,A,3.27,0.49,0.49,44.1,2020
RUPALIINS,40.20,Insurance,A,1.0,1.99,1.9,21.41,2020
RUPALILIFE,72.70,Insurance,A,2.75,-,-,-,2020
SAFKOSPINN,24.30,Textile,B,0.5,0.08,0.23,21.44,2021
SAIFPOWER,41.30,Services & Real Estate,A,2.56,2.1,1.14,16.63,2020
SAIHAMCOT,16.30,Textile,A,1.0,-,1.08,37.2,2021
SAIHAMTEX,22.20,Textile,A,1.0,1.4,1.11,42.91,2021
SALAMCRST,25.80,Engineering,A,1.0,0.42,0.56,19.01,2020
SALVOCHEM,61.20,Pharmaceuticals & Chemicals,B,0.2,2.2,0.34,12.69,2021
SAMATALETH,89.40,Tannery Industries,B,0.05,-,0.1,14.39,2021
SAMORITA,112.10,Services & Real Estate,A,1.0,2.52,2.23,51.46,2021
SANDHANINS,34.00,Insurance,A,1.2,-,1.41,18.15,2020
SAPORTL,28.30,Services & Real Estate,A,1.0,0.9,0.79,33.52,2021
SAVAREFR,190.00,Miscellaneous,Z,-,-, n/a ,6.28,2016
SBACBANK,14.70,Bank,B,0.99,1.08,1.21,13.59,2020
SEAPEARL,45.50,Travel & Leisure,B,0.1,1.44,0.61,10.63,2021
SEBL1STMF,-,Mutual Funds,A,0.3,3.81, n/a ,10.5,2020
SEMLFBSLGF,8.40,Mutual Funds,A,1.5,1.4,1.87,12.4,2021
SEMLIBBLSF,8.70,Mutual Funds,A,1.0,1.18,2.35,11.31,2021
SEMLLECMF,8.70,Mutual Funds,A,1.5,1.14,2.84,11.84,2021
SHAHJABANK,22.40,Bank,A,1.82,3.28,1.96,18.33,2020
SHASHADNIM,25.30,Textile,A,1.0,1.82,1.02,41.97,2021
SHEPHERD,27.70,Textile,B,0.1,1.26, n/a ,15.79,2020
SHURWID,17.50,Engineering,A,1.0,2.55,1.4,12.21,2019
SHYAMPSUG,82.00,Food & Allied,Z,-,-, n/a ,-1114.52,2021
SIBL,15.50,Bank,A,1.27,1.08,1.67,19.29,2020
SILCOPHL,24.50,Pharmaceuticals & Chemicals,A,1.0,0.94,0.8,21.64,2020
SILVAPHL,19.20,Pharmaceuticals & Chemicals,B,0.5,1.01,0.88,16.63,2021
SIMTEX,17.40,Textile,B,0.4,0.86,0.92,21.82,2021
SINGERBD,163.20,Engineering,A,3.0,5.2,7.85,32.19,2020
SINOBANGLA,54.30,Miscellaneous,A,0.5,1.16,1.31,25.69,2020
SKICL,64.60,Insurance,N,-,4.6,2.36,21.09,2020
SKTRIMS,28.40,Miscellaneous,B,0.5,0.98,1.14,14.1,2021
SONALIANSH,494.00,Jute,A,1.0,1.74,1.12,225.65,2021
SONALILIFE,63.40,Insurance,A,1.0,-,-,-,2020
SONALIPAPR,701.00,Paper & Printing,A,142.2,23.34,4.89,284.33,2021
